@relation CohortTemplate

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute 'user id' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}

@data
1.835916,1.861378,1.929763,1.547404,1.770255,1.912556,1.750005,1.809776,2.0393,1.727404,13
1.843154,1.815244,1.936207,1.578719,1.804462,1.927745,1.789922,1.790586,2.05035,1.778111,13
1.81403,1.895231,1.921274,1.564358,1.779563,1.905314,1.805981,1.801609,2.174558,1.919369,13
1.81188,1.822801,1.890777,1.599567,1.797094,1.893422,1.802439,1.789017,2.093003,1.8175,13
1.828132,1.855738,1.903046,1.598953,1.774693,1.901276,1.795047,1.80374,2.096058,1.817669,13
1.921248,1.910841,2.001569,2.041624,1.984758,1.987005,1.951256,2.105908,1.691152,1.872116,13
1.873654,1.919244,1.965249,1.687483,1.86458,1.960167,1.874962,1.87961,2.198663,1.966884,13
1.838069,1.852552,1.919788,1.591046,1.790464,1.920945,1.802698,1.8119,2.105624,1.834463,13
1.813182,1.844383,1.887716,1.634355,1.799575,1.89147,1.812517,1.817881,2.08274,1.852157,13
1.817383,1.857293,1.909142,1.592053,1.786044,1.907581,1.798318,1.822494,2.10933,1.865754,13
1.830427,1.907988,1.911824,1.610104,1.785725,1.910786,1.818509,1.838307,2.201675,1.919711,13
1.858174,1.938586,1.933579,1.608101,1.788292,1.933268,1.833834,1.842929,2.234786,1.930882,13
1.837761,1.885472,1.931336,1.574325,1.777949,1.926876,1.79735,1.833754,2.127903,1.868233,13
1.832854,1.889132,1.930196,1.564293,1.767453,1.908414,1.800922,1.772633,2.165925,1.911779,13
1.882572,1.832467,1.945645,2.05976,1.986973,1.944222,1.976353,2.058805,1.759756,1.968904,13
1.85315,1.82058,1.945321,1.574185,1.799672,1.942649,1.775341,1.82721,2.048321,1.767221,13
1.922241,1.876776,1.998979,1.75743,1.935869,1.988159,1.934641,1.836117,1.855992,1.609448,13
1.853355,1.876744,1.94072,1.559304,1.758897,1.926465,1.781788,1.791649,2.135163,1.855205,13
1.835303,1.893585,1.914961,1.593029,1.771168,1.909667,1.808871,1.805186,2.17784,1.903727,13
1.797216,1.819606,1.881009,1.602687,1.768294,1.870379,1.788445,1.760191,2.078718,1.834961,13
1.822959,1.882041,1.887616,1.630849,1.771578,1.885185,1.809778,1.807313,2.16412,1.938515,13
1.894105,1.935327,1.934501,1.610588,1.785398,1.912855,1.774724,1.807108,2.165453,2.007429,13
1.827191,1.871474,1.883983,1.61267,1.748957,1.873986,1.798894,1.756444,2.173,1.912124,13
1.871353,1.969356,1.959097,1.61171,1.850828,1.938041,1.779374,1.897742,2.192005,2.022443,13
2.167821,2.159446,2.243016,2.252308,2.227966,2.232706,2.153644,2.384456,1.69728,1.969976,13
1.863606,1.989215,1.943444,1.602607,1.811854,1.918677,1.800276,1.854105,2.267937,2.121208,13
1.898146,2.042519,1.967573,1.646116,1.852474,1.960566,1.840567,1.941792,2.316984,2.174215,13
1.8896,1.953879,1.936587,1.689534,1.880244,1.940773,1.840868,1.915199,2.168345,2.054608,13
1.889329,1.997611,1.956447,1.632539,1.850311,1.958401,1.822162,1.939432,2.252603,2.100109,13
1.891968,1.982566,1.952115,1.646993,1.849841,1.949748,1.817103,1.921397,2.225869,2.089201,13
1.810558,1.834329,1.878196,1.594406,1.745632,1.864456,1.779429,1.737401,2.116478,1.869684,13
1.77805,1.784687,1.869316,1.624013,1.780896,1.850282,1.789657,1.736814,2.001034,1.788525,13
1.803806,1.876389,1.884661,1.607715,1.753278,1.868528,1.802107,1.765666,2.176524,1.945984,13
1.835297,1.879993,1.916095,1.581711,1.752633,1.88395,1.785181,1.721846,2.166836,1.912374,13
1.886542,1.936187,1.966105,1.617503,1.797305,1.941544,1.842865,1.793649,2.2067,1.952127,13
1.852492,1.895714,1.933073,1.575533,1.75905,1.909028,1.803459,1.744986,2.176698,1.922082,13
2.08464,2.096113,2.181763,2.017026,2.107865,2.159581,2.090298,2.122597,1.667972,1.839057,13
1.834225,1.8798,1.884027,2.107774,1.984582,1.876271,2.031405,2.010973,1.944072,2.171586,13
1.792887,1.806171,1.861432,1.625227,1.774161,1.851991,1.80251,1.728983,2.06087,1.822596,13
1.822506,1.851762,1.882231,1.601281,1.765277,1.85094,1.753597,1.683347,2.150624,1.866386,13
1.771807,1.785928,1.852084,1.62009,1.783246,1.829631,1.774959,1.700788,2.018062,1.791118,13
1.824908,1.868967,1.8932,1.564085,1.733467,1.873278,1.761625,1.740094,2.150774,1.878067,13
1.8148,1.832395,1.865409,2.057143,1.947357,1.854522,1.933012,2.006536,1.868312,2.093228,13
1.791859,1.827945,1.844399,2.081955,1.959488,1.839739,1.977851,2.023904,1.868096,2.13596,13
1.909237,1.949551,1.967857,1.676868,1.825076,1.960946,1.87198,1.845464,2.21363,1.948584,13
1.814013,1.813051,1.869117,1.655889,1.783539,1.860311,1.820185,1.729633,2.027491,1.798268,13
1.835624,1.861708,1.88535,1.628802,1.744219,1.86797,1.802973,1.726878,2.158894,1.895101,13
1.840166,1.85545,1.89965,1.611244,1.748923,1.883483,1.798422,1.737077,2.129204,1.863215,13
1.810399,1.824876,1.866416,1.636415,1.746387,1.847861,1.794232,1.713065,2.112221,1.868369,13
