@relation CohortTemplate

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute 'user id' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}

@data
2.552246,1.925485,1.715992,1.648159,1.916427,1.913926,1.97405,1.966237,1.664503,1.633175,1.7049,2.023526,11
2.479506,1.823371,1.59946,1.637417,1.811573,1.802926,1.891758,1.907244,1.571501,1.537909,1.687236,1.947216,11
2.519626,1.845831,1.619696,1.648999,1.83446,1.831968,1.899878,1.907997,1.587352,1.549221,1.708562,1.957719,11
2.520313,1.910666,1.693187,1.659473,1.867194,1.869161,1.926802,1.931327,1.662719,1.588048,1.730339,1.991348,11
2.589545,1.971518,1.759505,1.678932,1.948179,1.951471,1.988286,1.9701,1.7127,1.655469,1.764716,2.038824,11
2.503995,1.896388,1.680567,1.648743,1.857381,1.854249,1.923626,1.927029,1.649578,1.580726,1.725499,1.981197,11
2.442696,1.936864,1.714329,1.93819,2.001366,1.979339,2.051258,2.039979,1.669047,1.723037,2.115535,2.045366,11
2.599337,2.067903,1.883635,2.100363,2.143325,2.104628,2.166428,2.160881,1.799432,1.855136,2.314353,2.199758,11
2.616616,1.984542,1.764933,1.722104,1.941224,1.952672,1.963333,1.9809,1.732847,1.650186,1.740623,2.059331,11
2.61372,1.98601,1.766232,1.72791,1.955047,1.969763,1.988603,1.992068,1.733016,1.668013,1.76923,2.063885,11
2.578683,1.943626,1.720778,1.715988,1.917808,1.926512,1.964654,1.970425,1.695596,1.634117,1.763949,2.029555,11
2.565227,1.956974,1.748725,1.639019,1.921189,1.920429,1.962308,1.943153,1.695593,1.626144,1.737473,2.017093,11
2.613101,1.980175,1.745944,1.904076,2.035216,2.025081,2.057946,2.066624,1.725264,1.751314,1.874682,2.084181,11
2.507288,1.905776,1.690772,1.815021,1.926446,1.907297,1.978534,1.917883,1.612763,1.618532,2.103995,1.95442,11
2.619624,2.087146,1.900814,2.097941,2.169237,2.125643,2.169843,2.174429,1.813726,1.869326,2.299427,2.21652,11
2.528943,1.916969,1.697682,1.666689,1.8703,1.871544,1.915425,1.93904,1.670616,1.588668,1.695968,2.002606,11
2.530738,1.899318,1.679366,1.639313,1.860789,1.867198,1.914509,1.918466,1.642362,1.573982,1.69633,1.984102,11
2.523263,1.920101,1.704013,1.647158,1.874754,1.876363,1.929443,1.933966,1.6712,1.593431,1.707366,1.997127,11
2.528222,1.922277,1.706244,1.644269,1.882754,1.88598,1.936848,1.934763,1.66974,1.598267,1.712552,1.998299,11
2.581601,1.961173,1.745897,1.689563,1.943478,1.944237,1.983395,1.973798,1.705505,1.652843,1.757597,2.037085,11
2.565176,1.954488,1.731723,1.733654,1.917764,1.925742,1.968918,1.986481,1.718234,1.645776,1.762286,2.040893,11
2.62284,1.9921,1.768134,1.760281,1.958777,1.975859,1.998661,2.004043,1.750195,1.677164,1.787459,2.068077,11
2.493229,1.913777,1.6977,1.643923,1.874178,1.876785,1.944272,1.949292,1.671751,1.602989,1.68881,1.999835,11
2.55053,1.947237,1.72295,1.740846,1.902185,1.910503,1.961376,1.989391,1.719352,1.639549,1.750751,2.039018,11
2.545355,1.932481,1.705525,1.707263,1.890442,1.902853,1.941343,1.968481,1.693819,1.617074,1.706248,2.025925,11
2.631771,2.06301,1.857369,1.846743,2.020618,2.027823,1.895737,2.0948,1.844149,1.773431,1.877678,2.144591,11
2.514502,1.893548,1.669217,1.645823,1.857188,1.867245,1.924284,1.926096,1.643624,1.577447,1.687063,1.983544,11
2.542404,1.929352,1.710865,1.649944,1.887877,1.898234,1.943188,1.935048,1.675089,1.601785,1.718076,2.002434,11
2.5256,1.913059,1.690674,1.667395,1.869579,1.879473,1.931816,1.938195,1.667554,1.592142,1.713762,1.997099,11
2.597337,1.967378,1.744567,1.709748,1.932042,1.95031,1.975466,1.972292,1.715324,1.644451,1.75367,2.042384,11
2.540218,1.92145,1.70197,1.659634,1.874297,1.883601,1.928949,1.929728,1.66987,1.589831,1.723963,1.997087,11
2.474333,1.865273,1.649821,1.665685,1.835049,1.818674,1.907496,1.922256,1.621641,1.565671,1.747919,1.967131,11
2.631018,2.045565,1.84534,1.779672,2.004175,2.005419,1.863212,2.051578,1.807486,1.735354,1.831569,2.116767,11
2.521724,1.892794,1.673858,1.628885,1.864953,1.863025,1.917586,1.923667,1.634281,1.579532,1.682793,1.986305,11
2.535917,1.911176,1.70035,1.576201,1.891667,1.895852,1.944791,1.907082,1.634479,1.586879,1.67892,1.980248,11
2.55497,1.940723,1.720221,1.680349,1.894423,1.905078,1.945717,1.950784,1.69408,1.613197,1.727755,2.016362,11
2.543067,1.929995,1.70928,1.68899,1.884654,1.892109,1.939095,1.950034,1.685905,1.607587,1.739641,2.011402,11
2.564017,1.948267,1.72807,1.705899,1.901779,1.910737,1.953308,1.962236,1.706796,1.623915,1.755248,2.023994,11
2.560205,1.943485,1.724706,1.679843,1.896172,1.907406,1.949315,1.946726,1.694547,1.613617,1.74634,2.014437,11
2.544579,1.922994,1.702446,1.690012,1.888905,1.892424,1.945836,1.951817,1.678792,1.609669,1.745739,2.006989,11
2.531038,1.920222,1.703584,1.643277,1.874613,1.880321,1.932091,1.925276,1.668309,1.588459,1.715478,1.99078,11
2.476553,1.851561,1.642267,1.561678,1.835417,1.822666,1.904912,1.881746,1.580536,1.541095,1.685309,1.939007,11
2.584304,1.968803,1.748329,1.66657,1.935167,1.953414,1.975155,1.96087,1.710913,1.639251,1.70043,2.033992,11
2.625516,2.050069,1.833206,2.044892,2.112498,2.09124,2.14562,2.20096,1.830619,1.854568,1.982586,2.208885,11
2.562766,1.948093,1.723654,1.702199,1.903768,1.920299,1.95907,1.966884,1.707338,1.626934,1.727161,2.027169,11
2.425828,1.915576,1.720687,1.665395,1.845931,1.839125,1.943092,1.898311,1.650875,1.570833,1.927181,1.978251,11
2.404927,1.884186,1.693878,1.622868,1.815245,1.812563,1.928986,1.872071,1.621503,1.545849,1.884959,1.944898,11
2.666536,1.485153,1.206727,1.923381,1.479382,1.461371,1.560189,1.543164,1.113519,1.09235,1.985456,1.647254,11
2.655859,1.695989,1.46028,1.798066,1.74894,1.72167,1.794183,1.784605,1.371741,1.416153,1.797999,1.840453,11
2.395482,1.891756,1.705648,1.609189,1.820584,1.810293,1.928215,1.876498,1.627695,1.550527,1.873723,1.952428,11
2.417581,1.904471,1.716748,1.621396,1.828823,1.833625,1.942211,1.879215,1.639678,1.559215,1.886324,1.958256,11
2.596318,1.545037,1.298695,1.852147,1.494342,1.488982,1.604244,1.523409,1.183691,1.10076,1.993911,1.639695,11
2.646653,1.519635,1.269846,1.872045,1.480452,1.464923,1.558833,1.49233,1.143158,1.069024,2.004294,1.614604,11
2.407922,1.881557,1.690914,1.60155,1.816625,1.805238,1.91308,1.86658,1.609585,1.538108,1.876649,1.945165,11
2.431222,1.928213,1.745424,1.593918,1.863141,1.864139,1.965729,1.894877,1.655105,1.587125,1.880728,1.977906,11
2.670932,1.522727,1.283403,1.901903,1.584752,1.543658,1.688924,1.652228,1.159901,1.233765,2.000979,1.717054,11
2.635615,1.561766,1.32684,1.84802,1.503121,1.490615,1.575375,1.499704,1.193635,1.089711,1.993727,1.628622,11
2.400017,1.885933,1.699048,1.597554,1.818144,1.803118,1.913487,1.869491,1.616319,1.542249,1.872461,1.947948,11
2.411826,1.90533,1.725159,1.592274,1.83876,1.831606,1.945151,1.875776,1.633823,1.56295,1.890005,1.954758,11
2.630537,1.570464,1.319535,1.881964,1.46979,1.483505,1.548234,1.502903,1.216301,1.070786,1.978309,1.64471,11
2.6217,1.518108,1.2891,1.869782,1.48498,1.452758,1.590514,1.515733,1.158404,1.100736,2.051277,1.616691,11
2.387938,1.884275,1.692437,1.619359,1.813323,1.792191,1.89807,1.865693,1.617044,1.52578,1.870175,1.94636,11
