@relation CohortTemplate

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute 'user id' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}

@data
1.794728,1.909891,1.832034,2.179486,1.980698,1.546871,1.848831,1.854548,1.805515,1.550225,1.498819,1.83226,1.714366,1.543565,13
1.826584,1.921891,1.809592,2.244839,2.004384,1.576703,1.805165,1.855473,1.78702,1.572211,1.456044,1.841991,1.75616,1.576679,13
1.939134,1.933788,1.914105,2.227525,2.130167,1.566923,1.885324,1.836809,1.798215,1.567108,1.540491,1.811123,1.90068,1.560872,13
1.865681,1.894616,1.854428,2.237623,2.040247,1.579531,1.811003,1.819191,1.783363,1.602801,1.465551,1.807978,1.802838,1.596665,13
1.85848,1.910069,1.89156,2.216504,2.045357,1.564913,1.843636,1.835464,1.798001,1.596734,1.506284,1.824064,1.804303,1.596099,13
1.663427,1.983845,1.921034,2.112514,1.64054,1.837398,1.903634,1.932377,2.105551,2.047775,1.583624,1.923844,1.845385,2.042803,13
1.984052,1.973987,1.94035,2.300581,2.153054,1.669224,1.907858,1.883502,1.875049,1.692125,1.573256,1.869608,1.948835,1.684162,13
1.877083,1.922913,1.885159,2.248111,2.061187,1.580878,1.84106,1.849042,1.806611,1.59252,1.501792,1.834085,1.814144,1.587673,13
1.867787,1.895674,1.882913,2.231663,2.042138,1.598456,1.832069,1.817435,1.813015,1.641896,1.489875,1.80835,1.833812,1.631673,13
1.88752,1.916578,1.882291,2.2381,2.0689,1.587057,1.845715,1.831716,1.81795,1.601733,1.499515,1.813798,1.842609,1.589076,13
1.962086,1.929688,1.948749,2.257699,2.146077,1.58534,1.893392,1.840671,1.830469,1.615557,1.558541,1.822577,1.912555,1.604201,13
1.985361,1.955272,1.99348,2.267194,2.178121,1.584746,1.924528,1.869266,1.834646,1.608678,1.599831,1.850403,1.924661,1.602004,13
1.897428,1.93807,1.908782,2.241325,2.087518,1.580214,1.873648,1.856321,1.829066,1.581647,1.533142,1.833835,1.84491,1.5706,13
1.926729,1.936932,1.913732,2.238649,2.124283,1.538916,1.87864,1.850171,1.769502,1.547662,1.542235,1.830551,1.889608,1.560963,13
1.750503,1.937168,1.880948,2.223829,1.709404,1.847882,1.822874,1.877334,2.056576,2.051711,1.503712,1.881847,1.945944,2.05866,13
1.827663,1.921161,1.799076,2.262598,2.000818,1.591153,1.808452,1.863826,1.823688,1.5721,1.457628,1.847543,1.748624,1.568795,13
1.609793,1.979877,1.90006,2.146349,1.812655,1.703178,1.868301,1.926196,1.833833,1.742229,1.547393,1.923284,1.576638,1.757171,13
1.892919,1.939219,1.895481,2.243977,2.089358,1.537121,1.865302,1.865216,1.787203,1.541371,1.530192,1.849538,1.836151,1.555106,13
1.937916,1.931844,1.942023,2.247753,2.13024,1.559744,1.881518,1.845804,1.799175,1.588089,1.549614,1.830821,1.889914,1.58942,13
1.847354,1.886074,1.854548,2.199928,2.031762,1.54757,1.808061,1.80221,1.755098,1.589911,1.463059,1.794191,1.816022,1.599849,13
1.943702,1.90612,1.937227,2.26681,2.124613,1.567959,1.869943,1.82523,1.80279,1.6271,1.539512,1.818285,1.922314,1.628666,13
