@relation CohortTemplate

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute 'user id' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}

@data
1.870675,1.961232,1.903102,1.902416,1.738475,1.847513,1.582673,1.598735,1.824448,1.893986,1.852891,1.874054,1.902693,1.343427,1.48638,1.818828,10
1.97169,2.096214,2.008089,2.048694,1.785174,1.971838,1.746252,1.759894,1.958544,1.995683,1.994282,2.011209,1.825495,1.463449,1.629992,1.935491,10
1.839649,1.951588,1.887503,1.915667,1.647743,1.812722,1.562213,1.598329,1.805381,1.863401,1.840921,1.872143,1.866186,1.194844,1.448771,1.797688,10
1.899977,1.989566,1.920396,1.96605,1.688471,1.891073,1.618396,1.650166,1.894393,1.931067,1.900232,1.925195,1.923653,1.358223,1.556636,1.866611,10
1.836359,1.826434,1.860128,1.85278,1.686137,1.803935,1.497988,1.517642,1.776393,1.844423,1.783573,1.806386,1.849493,1.210217,1.433023,1.778823,10
1.890973,1.929697,1.909902,1.933518,1.700768,1.86368,1.571061,1.609075,1.859832,1.910566,1.860877,1.89032,1.897991,1.306019,1.528801,1.848239,10
1.874528,1.968626,1.907054,1.942222,1.663766,1.855828,1.588768,1.621983,1.851606,1.900137,1.870502,1.898668,1.894899,1.272012,1.507569,1.835947,10
1.879928,1.99627,1.917873,1.965756,1.655137,1.865708,1.614295,1.650651,1.868482,1.911066,1.893993,1.923428,1.905801,1.301988,1.522167,1.848362,10
1.857427,1.888513,1.882433,1.897908,1.675615,1.831325,1.539993,1.568995,1.819061,1.874848,1.827362,1.853483,1.871714,1.268668,1.478326,1.811424,10
1.894271,1.96575,1.915324,1.954953,1.688194,1.885262,1.60872,1.635183,1.881662,1.921832,1.889045,1.912293,1.916986,1.3316,1.542865,1.857698,10
