@relation CohortTemplate

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute 'user id' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}

@data
1.80669,1.799675,1.829391,1.828433,1.738463,1.498835,1.78123,1.879121,1.542753,1.611565,1.828168,1.814474,1.9917,1.761124,1.174138,1.848877,1.891793,1.852174,13
1.772809,1.766654,1.836253,1.817344,1.777297,1.454124,1.756472,1.841084,1.573438,1.65488,1.81614,1.789024,2.01758,1.797736,1.20811,1.803334,1.890666,1.85047,13
1.846839,1.795753,1.807732,1.816576,1.793941,1.540477,1.764223,1.920189,1.559587,1.655453,1.819008,1.852072,2.142468,1.77276,1.172424,1.885287,1.90327,1.834364,13
1.780139,1.765022,1.802119,1.793602,1.787125,1.463766,1.745392,1.849195,1.593016,1.663471,1.789635,1.787828,2.048703,1.786453,1.205057,1.809441,1.872071,1.81422,13
1.809528,1.793651,1.818055,1.819572,1.779499,1.504757,1.765835,1.881205,1.592493,1.654875,1.811634,1.822369,2.052267,1.763283,1.208186,1.842313,1.890644,1.830557,13
1.883339,1.85125,1.917011,1.882278,1.943952,1.580481,1.857221,1.928033,2.039291,2.102808,1.896527,1.886493,1.653987,1.980384,1.194097,1.900374,1.933339,1.92529,13
1.887715,1.851462,1.87838,1.870124,1.874646,1.587956,1.828091,1.955069,1.69639,1.775428,1.873689,1.88955,2.174564,1.86905,1.305357,1.919852,1.954805,1.8928,13
1.809612,1.793649,1.828458,1.824816,1.787536,1.500081,1.771825,1.880795,1.584107,1.657376,1.81987,1.818122,2.069409,1.780824,1.226931,1.839554,1.898617,1.844253,13
1.799883,1.781737,1.802581,1.798581,1.797462,1.488491,1.757726,1.869446,1.628165,1.691285,1.793393,1.803603,2.046345,1.788632,1.214802,1.830894,1.878394,1.81257,13
1.811838,1.7837,1.807978,1.805607,1.783682,1.49809,1.761054,1.883606,1.585439,1.667752,1.80514,1.812869,2.07705,1.77708,1.199479,1.844427,1.889097,1.826858,13
