@relation CohortTemplate

@attribute attr1 numeric
@attribute attr2 numeric
@attribute 'user id' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}

@data
1.758843,1.873746,13
1.792437,1.871274,13
1.770126,1.860008,13
1.782266,1.83607,13
1.760243,1.850497,13
1.974707,1.92773,13
1.851303,1.902671,13
1.776638,1.864779,13
1.784511,1.834858,13
1.773585,1.851661,13
1.769192,1.861751,13
1.771645,1.887022,13
1.766859,1.87725,13
1.758386,1.866034,13
1.977041,1.886353,13
1.787328,1.886587,13
1.925564,1.930369,13
1.747268,1.879787,13
1.757185,1.860195,13
1.754053,1.813297,13
1.757854,1.839883,13
1.773777,1.898224,13
1.734073,1.831661,13
1.836611,1.907349,13
2.215891,2.182126,13
1.800044,1.895939,13
1.841014,1.939488,13
1.86736,1.912505,13
1.839838,1.932357,13
1.836471,1.921723,13
1.731987,1.816881,13
1.769532,1.791608,13
1.740784,1.821379,13
1.743399,1.846976,13
1.788261,1.913233,13
1.750287,1.87214,13
2.057115,2.052004,13
1.977026,1.835185,13
1.760335,1.797882,13
1.747703,1.808035,13
1.770977,1.774756,13
1.723425,1.841559,13
1.939156,1.815252,13
1.955847,1.811278,13
1.812622,1.921793,13
1.769953,1.809162,13
1.72837,1.827166,13
1.734803,1.839545,13
1.730575,1.800146,13
1.868547,1.921537,13
1.822935,1.907035,13
1.774358,1.903408,13
1.811218,1.85555,13
1.751744,1.901877,13
2.075592,2.177586,13
1.828546,1.963862,13
1.827285,1.835484,13
1.877673,1.885335,13
1.815021,1.822194,13
1.761347,1.591143,13
1.738448,1.527044,13
1.805549,1.839171,13
1.809,1.850268,13
1.712415,1.465753,13
1.714092,1.458638,13
1.818759,1.842097,13
1.816902,1.860038,13
1.722367,1.473992,13
1.704278,1.489353,13
1.811216,1.833022,13
1.820011,1.832699,13
1.708984,1.456687,13
1.750123,1.532477,13
1.827323,1.841128,13
1.831787,1.842588,13
1.800904,1.520595,13
1.819367,1.549964,13
