@relation CohortTemplate

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute 'user id' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}

@data
1.7995,1.867142,1.799663,1.609647,1.874513,1.827392,2.188914,1.70542,1.172618,1.631656,1.813138,1.828467,1.829217,1.817139,1.815449,1.800339,1.535643,1.503087,1.860286,1.916605,13
1.776999,1.85995,1.785087,1.65033,1.871156,1.802208,2.256115,1.750212,1.207874,1.658105,1.780504,1.813426,1.804984,1.811891,1.773452,1.764926,1.555152,1.459989,1.836768,1.880713,13
1.787687,1.872283,1.821162,1.650304,1.860001,1.861299,2.236827,1.891757,1.171037,1.592946,1.851081,1.818101,1.910706,1.79362,1.830299,1.795473,1.547964,1.542756,1.878601,1.953524,13
1.774138,1.841743,1.778394,1.660331,1.836228,1.80204,2.247445,1.793028,1.203423,1.603747,1.788489,1.787927,1.847822,1.77861,1.783644,1.762893,1.580344,1.469994,1.820063,1.888975,13
1.7891,1.860784,1.804601,1.652172,1.850772,1.836251,2.225949,1.793451,1.20604,1.592554,1.817666,1.810837,1.884657,1.797774,1.808625,1.791902,1.583679,1.510538,1.847396,1.92007,13
2.100841,1.9128,1.880347,2.100792,1.927642,1.89981,2.123862,1.848053,1.192021,1.68404,1.889535,1.892761,1.914768,1.894989,1.872344,1.849171,2.023198,1.584414,1.921892,1.965834,13
1.88599,1.932024,1.877568,1.779037,1.922165,1.909182,2.32671,1.960489,1.314067,1.687941,1.901901,1.878381,1.954881,1.862133,1.889409,1.856441,1.687855,1.601439,1.926794,1.998844,13
1.797186,1.868366,1.809827,1.653923,1.864678,1.831867,2.25778,1.806655,1.225492,1.614109,1.817614,1.817906,1.878682,1.805056,1.811033,1.791382,1.570481,1.505944,1.851103,1.919728,13
1.802939,1.847057,1.788218,1.687751,1.834795,1.817067,2.239725,1.825943,1.211065,1.57965,1.80735,1.791006,1.874324,1.77875,1.804569,1.77792,1.616329,1.49332,1.829001,1.907744,13
1.808594,1.858677,1.800256,1.664407,1.851579,1.826546,2.247801,1.836076,1.198268,1.590407,1.81967,1.803759,1.875849,1.786687,1.813291,1.781978,1.571096,1.50382,1.847133,1.922351,13
