@relation CohortTemplate

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute 'user id' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}

@data
1.89049,1.496149,1.611149,1.792597,13
1.893928,1.453346,1.65302,1.824652,13
1.880557,1.537916,1.652664,1.937071,13
1.856872,1.462979,1.662709,1.86224,13
1.86709,1.503567,1.654472,1.854935,13
1.961331,1.578187,2.103258,1.660211,13
1.925596,1.571682,1.760311,1.98157,13
1.884994,1.499394,1.656547,1.873753,13
1.854359,1.486615,1.690647,1.862848,13
1.874067,1.497208,1.667292,1.884417,13
1.877619,1.556198,1.670464,1.958056,13
1.90022,1.597389,1.663109,1.981245,13
1.897196,1.53115,1.651022,1.894833,13
1.88272,1.539673,1.639663,1.924923,13
1.911629,1.501289,2.112953,1.748493,13
1.908819,1.456962,1.647431,1.825667,13
1.955688,1.543035,1.817608,1.608581,13
1.895417,1.528869,1.624044,1.89127,13
1.876095,1.547312,1.653149,1.934672,13
1.833948,1.460575,1.666329,1.844918,13
1.851445,1.536218,1.673207,1.938393,13
1.884738,1.577734,1.585369,1.969327,13
1.839552,1.532747,1.644907,1.928552,13
1.914065,1.582889,1.634963,2.011487,13
2.20515,1.830303,2.292769,1.702418,13
1.892811,1.615239,1.619728,2.073161,13
1.935171,1.675307,1.659154,2.134967,13
1.909518,1.582996,1.684947,2.008362,13
1.931396,1.627718,1.650187,2.078031,13
1.918724,1.610036,1.650738,2.05277,13
1.829327,1.48584,1.63784,1.878983,13
1.816254,1.418129,1.69493,1.773677,13
1.836388,1.52846,1.66582,1.938933,13
1.85939,1.540829,1.631432,1.923021,13
1.922426,1.605133,1.669239,1.960634,13
1.883337,1.560317,1.629314,1.929352,13
2.088728,1.725907,2.0388,1.518196,13
1.847937,1.565612,2.146283,1.921103,13
1.8154,1.453653,1.674598,1.825476,13
1.824011,1.511116,1.615043,1.911437,13
1.799703,1.423442,1.673593,1.794512,13
1.85039,1.526838,1.602653,1.908027,13
1.82929,1.49973,2.082656,1.866934,13
1.822904,1.49361,2.121932,1.874768,13
1.930608,1.626673,1.7143,1.974225,13
1.8236,1.471187,1.691969,1.788508,13
1.832727,1.529416,1.651419,1.907044,13
1.84914,1.520357,1.646788,1.878978,13
1.810153,1.483757,1.666283,1.866797,13
1.922305,1.526208,1.655282,1.798233,13
1.902306,1.55113,1.618147,1.970617,13
1.893586,1.567189,1.560565,1.983448,13
1.854727,1.488427,1.594734,1.890395,13
1.884062,1.654713,1.581107,2.074381,13
2.191179,1.746614,1.877852,1.752289,13
1.943523,1.736292,1.664488,2.171648,13
1.839398,1.579174,1.800593,1.959646,13
1.910894,1.599751,1.856654,1.932098,13
1.837928,1.550048,1.811344,1.905974,13
1.608606,1.024075,1.973217,1.943402,13
1.538896,1.014368,1.952843,1.97312,13
1.845523,1.567598,1.775663,1.909847,13
1.848442,1.604356,1.782019,1.952743,13
1.486113,1.07749,1.936392,1.999528,13
1.463695,1.075725,1.967892,2.034416,13
1.851078,1.572691,1.803785,1.917404,13
1.872066,1.606841,1.772848,1.917115,13
1.491881,1.061925,1.959068,2.0016,13
1.490059,1.04054,1.943461,1.997581,13
1.842497,1.559852,1.790881,1.909517,13
1.846157,1.561564,1.798624,1.918227,13
1.464073,1.082366,1.947045,2.030901,13
1.559229,1.100245,1.939968,1.989445,13
1.853617,1.558048,1.81521,1.910902,13
1.86032,1.563207,1.814831,1.915518,13
1.544473,1.014698,2.028875,1.978779,13
1.561501,1.18742,2.061622,2.108821,13
1.851068,1.556819,1.804775,1.912143,13
1.853824,1.551535,1.81384,1.912346,13
1.495786,1.06959,1.970305,2.017373,13
1.565661,1.004045,1.997203,1.976144,13
1.914695,1.642,1.840377,1.973286,13
1.839581,1.552088,1.792257,1.914685,13
1.522583,1.030111,1.920621,1.962644,13
1.466486,1.072512,1.936718,2.022715,13
1.842198,1.561652,1.797791,1.926595,13
1.85287,1.581833,1.787757,1.941154,13
1.537224,1.012752,1.975736,1.960155,13
1.488893,1.058134,1.96648,2.008704,13
1.845773,1.553439,1.818206,1.904723,13
1.850132,1.585471,1.790131,1.915376,13
1.516787,1.083402,1.97456,1.995885,13
1.474649,1.098941,1.941993,2.020595,13
1.86012,1.574252,1.793095,1.905576,13
1.844653,1.575174,1.816054,1.926454,13
1.49516,1.036384,1.98111,1.990348,13
1.537598,1.19727,2.000377,2.096351,13
1.845798,1.578586,1.772277,1.910259,13
1.855451,1.606366,1.765491,1.935968,13
1.456823,1.079746,1.952826,2.027091,13
1.464708,1.078792,1.924734,2.023111,13
1.846836,1.584246,1.781058,1.929294,13
1.853989,1.597194,1.772129,1.9418,13
1.465754,1.072728,1.946603,2.015526,13
1.478984,1.059888,1.943151,2.004476,13
1.85073,1.589171,1.775708,1.922011,13
1.852249,1.599535,1.784457,1.933735,13
1.472654,1.091388,1.953204,2.015147,13
1.47049,1.071391,1.92318,2.00974,13
1.848812,1.586894,1.77119,1.918467,13
1.863832,1.629132,1.787272,1.959002,13
1.535545,1.027094,1.945599,1.954295,13
1.447571,1.125081,1.936173,2.05454,13
1.854177,1.57719,1.805175,1.920341,13
1.844968,1.586732,1.80769,1.932714,13
1.449977,1.113627,1.941328,2.040375,13
