@relation CohortTemplate

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute 'user id' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}

@data
1.535223,1.850355,1.633046,1.794092,1.535579,1.829591,13
1.482692,1.826013,1.659569,1.824782,1.555036,1.805128,13
1.580248,1.869665,1.594146,1.937258,1.547892,1.91074,13
1.496064,1.809125,1.605267,1.862721,1.580198,1.847991,13
1.53493,1.83671,1.594138,1.855622,1.583535,1.884869,13
1.601475,1.911691,1.685895,1.660224,2.023209,1.91494,13
1.610243,1.896886,1.66713,1.98172,1.665465,1.935748,13
1.532307,1.8403,1.615634,1.873833,1.570392,1.878788,13
1.522015,1.818254,1.581357,1.863045,1.616206,1.874546,13
1.5373,1.836419,1.592168,1.884452,1.571041,1.875991,13
1.596785,1.869017,1.571339,1.959553,1.595647,1.943231,13
1.634391,1.899522,1.591882,1.982637,1.595453,1.987788,13
1.570567,1.865011,1.604456,1.894858,1.556084,1.90338,13
1.570347,1.874689,1.608991,1.924949,1.550761,1.910772,13
1.510657,1.843622,1.680729,1.748534,2.04493,1.87632,13
1.490253,1.830226,1.664235,1.825914,1.549735,1.797502,13
1.557935,1.893551,1.78593,1.608596,1.736535,1.894,13
1.557113,1.869887,1.620291,1.891434,1.542627,1.892549,13
1.580412,1.866351,1.583438,1.935201,1.577899,1.936068,13
1.48878,1.8076,1.583297,1.845196,1.582923,1.849164,13
1.566602,1.846735,1.557384,1.938669,1.621596,1.928877,13
1.609411,1.886354,1.704591,1.969379,1.612924,1.870374,13
1.552498,1.845928,1.567338,1.929199,1.606254,1.929244,13
1.648321,1.900322,1.692753,2.011514,1.598696,1.851781,13
1.873084,2.133504,2.008023,1.702573,2.226604,2.027535,13
1.67132,1.913717,1.66466,2.073193,1.594927,1.90769,13
1.740014,1.950317,1.691882,2.13499,1.641204,1.972127,13
1.637216,1.881249,1.728673,2.008373,1.683448,1.877606,13
1.692433,1.917863,1.700012,2.078045,1.625796,1.92481,13
1.669649,1.905387,1.704582,2.052776,1.638139,1.899075,13
1.506464,1.819969,1.577486,1.879231,1.582733,1.874431,13
1.443811,1.783371,1.616953,1.773716,1.603123,1.799027,13
1.557338,1.847006,1.555655,1.939053,1.595496,1.925193,13
1.558622,1.871131,1.606165,1.923079,1.575448,1.913123,13
1.622577,1.923817,1.664368,1.960717,1.614922,1.964294,13
1.580012,1.887119,1.620851,1.929402,1.567742,1.929567,13
1.767306,2.053585,1.816537,1.528402,1.949177,2.049225,13
1.570704,1.854881,1.637941,1.921114,2.105982,2.006443,13
1.473248,1.794746,1.582214,1.825712,1.610887,1.854419,13
1.522926,1.838349,1.579939,1.911545,1.596851,1.890315,13
1.44501,1.779448,1.585215,1.794513,1.606271,1.81333,13
1.546996,1.85192,1.582882,1.908428,1.563518,1.902137,13
1.511484,1.812879,1.621391,1.86696,2.055723,1.901247,13
