@relation CohortTemplate

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute 'user id' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41}

@data
1.894032,1.802309,1.810923,2.20937,1.608579,1.914601,1.816896,1.614041,13
1.889059,1.786617,1.792091,2.275152,1.57764,1.877593,1.773797,1.653837,13
1.909744,1.82242,1.807837,2.25598,1.66109,1.95086,1.830541,1.653267,13
1.864194,1.780541,1.777039,2.26678,1.573945,1.886122,1.784421,1.664303,13
1.881356,1.806758,1.797594,2.245537,1.608533,1.917347,1.809456,1.656263,13
1.954848,1.881858,1.881489,2.144017,1.685478,1.96276,1.872712,2.103774,13
1.945035,1.859113,1.851751,2.329157,1.687324,1.977048,1.869841,1.761218,13
1.891524,1.811299,1.804619,2.276753,1.611266,1.916598,1.811276,1.657386,13
1.864199,1.79034,1.786103,2.259231,1.590178,1.905033,1.805369,1.691991,13
1.885641,1.801776,1.79682,2.266833,1.614351,1.919186,1.813536,1.668053,13
1.908246,1.837461,1.822232,2.285712,1.662323,1.966709,1.856083,1.673833,13
1.934234,1.872194,1.849924,2.295035,1.698745,1.998859,1.884168,1.666561,13
1.910651,1.829194,1.821623,2.269742,1.647202,1.947221,1.838252,1.651766,13
1.912231,1.828933,1.808812,2.267096,1.660501,1.94705,1.816109,1.640273,13
1.904068,1.825969,1.824237,2.254323,1.597914,1.892661,1.800508,2.113489,13
1.896844,1.791541,1.803921,2.291059,1.578839,1.882942,1.788295,1.648398,13
1.944116,1.862211,1.863047,2.177569,1.652243,1.936484,1.833669,1.818356,13
1.913324,1.829973,1.816342,2.273217,1.644532,1.937731,1.815983,1.624948,13
1.903905,1.834583,1.814264,2.276344,1.655285,1.954989,1.835775,1.654665,13
1.853583,1.771542,1.757306,2.23036,1.578136,1.88059,1.760122,1.667402,13
1.877692,1.817625,1.800296,2.29271,1.62936,1.940579,1.827908,1.674355,13
1.900921,1.823322,1.848565,2.345252,1.631351,1.965324,1.880992,1.585829,13
1.874186,1.817268,1.789868,2.277128,1.624857,1.930913,1.804669,1.646808,13
1.920918,1.824194,1.867907,2.349952,1.665316,1.992433,1.931395,1.635389,13
2.18504,2.072929,2.13034,2.358041,1.910445,2.179241,2.139911,2.293261,13
1.929505,1.834253,1.857567,2.349159,1.695961,2.01392,1.923126,1.620108,13
1.964849,1.882745,1.913403,2.404441,1.740738,2.069771,2.000342,1.659531,13
1.908937,1.826118,1.873345,2.384089,1.635153,1.983401,1.935174,1.685668,13
1.943775,1.857446,1.897237,2.397841,1.693399,2.031323,1.97392,1.650635,13
1.930075,1.84212,1.884091,2.388481,1.671981,2.011338,1.953001,1.651209,13
1.855886,1.785459,1.765124,2.253747,1.589046,1.894306,1.768718,1.638949,13
1.833129,1.739454,1.729899,2.177496,1.545058,1.843954,1.720191,1.695617,13
1.876587,1.808893,1.780489,2.258579,1.638313,1.934765,1.801832,1.666651,13
1.892895,1.825549,1.794007,2.265719,1.651122,1.934563,1.793447,1.631943,13
1.951626,1.88031,1.852719,2.305588,1.70848,1.986631,1.851169,1.669657,13
1.914993,1.841945,1.812465,2.258752,1.667339,1.949164,1.811832,1.629619,13
2.098699,2.041688,2.045511,2.241968,1.881593,2.132066,2.040056,2.074735,13
1.879586,1.842556,1.804435,2.295209,1.64221,1.940429,1.819348,2.146765,13
1.83592,1.764396,1.745298,2.218937,1.560447,1.867573,1.744914,1.675591,13
1.840004,1.802629,1.76644,2.286763,1.604792,1.898671,1.770313,1.615483,13
1.811051,1.741985,1.724262,2.205934,1.540159,1.842652,1.721166,1.674382,13
1.875332,1.814151,1.789878,2.276831,1.624761,1.925449,1.798045,1.603826,13
1.83407,1.790089,1.774161,2.301898,1.571629,1.885553,1.788326,2.082946,13
1.836463,1.782682,1.767486,2.300818,1.56681,1.88267,1.780895,2.122344,13
1.956694,1.902208,1.87841,2.326284,1.715683,2.009289,1.891425,1.715741,13
1.840858,1.780755,1.758364,2.202723,1.567146,1.8748,1.75173,1.692736,13
1.870945,1.818388,1.783524,2.266807,1.620325,1.920967,1.783768,1.653944,13
1.87835,1.818038,1.788102,2.256431,1.618732,1.916686,1.782804,1.648078,13
1.844363,1.783229,1.751971,2.241012,1.58208,1.883969,1.746666,1.668008,13
1.905242,1.806195,1.85476,2.256873,1.59397,1.930711,1.872236,1.655746,13
1.900177,1.809939,1.855405,2.363078,1.608849,1.957034,1.90273,1.619358,13
1.903848,1.819187,1.850105,2.35657,1.627989,1.966165,1.889992,1.561066,13
1.840057,1.770919,1.804347,2.332292,1.546321,1.89566,1.833833,1.595386,13
1.919949,1.873729,1.875805,2.378938,1.699015,2.031913,1.936618,1.581718,13
2.149517,2.014222,2.093356,2.387901,1.835374,2.125443,2.094117,1.878683,13
1.975177,1.935233,1.948119,2.463981,1.764823,2.101874,2.027116,1.665123,13
1.882595,1.815433,1.80315,2.235718,1.653051,1.953776,1.85031,1.801691,13
1.942403,1.870952,1.842043,2.192253,1.707817,1.970377,1.859918,1.858121,13
1.887186,1.814443,1.785028,2.214513,1.658085,1.943496,1.805903,1.811835,13
1.55197,1.46478,1.500736,2.513903,1.090651,1.519428,1.469336,1.97352,13
1.507523,1.431613,1.453968,2.48649,1.072957,1.511287,1.444136,1.953044,13
1.889367,1.819365,1.800004,2.229946,1.657846,1.954741,1.830675,1.776268,13
1.901773,1.842676,1.819369,2.26274,1.682157,1.98181,1.851343,1.782615,13
1.491474,1.450866,1.434133,2.388041,1.142914,1.534058,1.442111,1.93656,13
1.475838,1.442248,1.423041,2.447891,1.128526,1.556219,1.453889,1.968259,13
1.894968,1.829564,1.803016,2.229676,1.66786,1.958925,1.831922,1.804249,13
1.913287,1.865928,1.828868,2.243429,1.703521,1.986225,1.850974,1.773524,13
1.494299,1.445409,1.427304,2.41688,1.123934,1.528943,1.4347,1.959404,13
1.47155,1.435287,1.432582,2.471314,1.075471,1.526285,1.445464,1.943749,13
1.886554,1.814097,1.793424,2.217308,1.655953,1.948923,1.82542,1.791454,13
1.891015,1.8185,1.795587,2.228908,1.663208,1.956353,1.828199,1.799177,13
1.481856,1.436992,1.423445,2.42259,1.140636,1.559663,1.457409,1.947328,13
1.567346,1.473201,1.482784,2.422058,1.200022,1.569413,1.471205,1.940177,13
1.894068,1.818397,1.798502,2.226707,1.662848,1.953963,1.831027,1.815616,13
1.9016,1.827478,1.803933,2.230691,1.671761,1.961469,1.834847,1.815421,13
1.513576,1.443742,1.456942,2.48321,1.088675,1.514017,1.44625,2.029222,13
1.567773,1.531505,1.518048,2.512095,1.238533,1.637873,1.549794,2.061926,13
1.895149,1.816029,1.796561,2.218304,1.665179,1.954367,1.828798,1.805137,13
1.896439,1.816169,1.796126,2.221455,1.664558,1.95392,1.828108,1.814367,13
1.504829,1.445117,1.432906,2.418715,1.154057,1.558432,1.459375,1.97052,13
1.526261,1.43873,1.467847,2.493592,1.083197,1.512163,1.457034,1.99749,13
1.956786,1.882672,1.866841,2.270543,1.734226,2.017774,1.898688,1.840816,13
1.886603,1.80819,1.789086,2.220153,1.655958,1.948683,1.820709,1.792735,13
1.512016,1.433928,1.443596,2.433282,1.108308,1.524316,1.436978,1.920945,13
1.479004,1.432029,1.428215,2.440641,1.118828,1.55307,1.456853,1.937076,13
1.88682,1.814594,1.795497,2.226685,1.657873,1.953932,1.832057,1.798218,13
1.896028,1.832675,1.815333,2.151199,1.65836,1.933916,1.851444,1.790931,13
1.510762,1.438199,1.448725,2.457903,1.089959,1.510323,1.434882,1.976038,13
1.498029,1.441754,1.427761,2.429071,1.136427,1.545699,1.442255,1.966788,13
1.890819,1.8212,1.79081,2.212423,1.660216,1.94487,1.811989,1.818595,13
1.899602,1.842033,1.808436,2.238405,1.677419,1.966891,1.827457,1.790692,13
1.527369,1.47069,1.444718,2.415831,1.171815,1.554746,1.441343,1.974689,13
1.501584,1.461156,1.43079,2.416353,1.167707,1.570356,1.447569,1.942343,13
1.898772,1.831207,1.803675,2.223926,1.670415,1.960159,1.830818,1.793583,13
1.891396,1.831558,1.799404,2.244091,1.669276,1.961764,1.827126,1.816576,13
1.48943,1.433501,1.428429,2.448149,1.103382,1.525115,1.432052,1.981505,13
1.550394,1.522892,1.508647,2.508957,1.223502,1.633073,1.534194,2.000728,13
1.891543,1.827897,1.804833,2.230997,1.663196,1.959271,1.831101,1.773165,13
1.907126,1.849353,1.823732,2.253311,1.684758,1.981392,1.848875,1.766434,13
1.465291,1.436812,1.42132,2.446553,1.120196,1.557527,1.457418,1.953671,13
1.481028,1.434904,1.424183,2.437319,1.128289,1.554622,1.449526,1.924989,13
1.892623,1.83078,1.807763,2.233408,1.667695,1.964052,1.839124,1.781614,13
1.902845,1.838207,1.817951,2.251667,1.680767,1.979299,1.852609,1.772757,13
1.463781,1.438079,1.424681,2.457613,1.099528,1.542049,1.447085,1.947237,13
1.485124,1.434638,1.42513,2.445961,1.114434,1.537116,1.433858,1.943525,13
1.897565,1.840011,1.811024,2.24075,1.67198,1.965541,1.833325,1.776192,13
1.902562,1.846596,1.815223,2.251794,1.683459,1.976726,1.840308,1.785103,13
1.490926,1.454676,1.425963,2.420609,1.15072,1.557421,1.442477,1.953395,13
1.479051,1.438627,1.424912,2.446435,1.115141,1.544907,1.439018,1.923453,13
1.895499,1.8362,1.809886,2.236771,1.668092,1.963157,1.833804,1.771885,13
1.914972,1.864478,1.835557,2.277375,1.700568,1.998292,1.866256,1.788592,13
1.501904,1.445241,1.455925,2.478243,1.072727,1.510636,1.436983,1.945961,13
1.467254,1.462279,1.432728,2.460238,1.146789,1.587935,1.476979,1.93687,13
1.897071,1.839372,1.809906,2.24279,1.663935,1.95194,1.831815,1.805621,13
1.893137,1.838741,1.804774,2.251659,1.672003,1.965538,1.830383,1.808111,13
1.470245,1.453491,1.425462,2.448243,1.143099,1.572651,1.457544,1.941987,13
